,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
0, Fiesta,2017,12000,Automatic,15944,Petrol,150,57.7,1.0,0.21820165469588143
1, Focus,2018,14000,Manual,9083,Petrol,150,57.7,1.0,0.25456859714519503
2, Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0,0.23638512592053823
3, Fiesta,2019,17500,Manual,10460,Petrol,145,40.3,1.5,0.3182107464314938
4, Fiesta,2019,16500,Automatic,1482,Petrol,145,48.7,1.0,0.300027275206837
5, Fiesta,2015,10500,Manual,35432,Petrol,145,47.9,1.6,0.19092644785889626
6, Puma,2019,22500,Manual,2029,Petrol,145,50.4,1.0,0.4091281025547777
7, Fiesta,2017,9000,Manual,13054,Petrol,145,54.3,1.2,0.1636512410219111
8, Kuga,2019,25500,Automatic,6894,Diesel,145,42.2,2.0,0.46367851622874806
9, Focus,2018,10000,Manual,48141,Petrol,145,61.4,1.0,0.18183471224656786
10, Fiesta,2018,11561,Manual,18803,Petrol,145,56.5,1.0,0.21021911082825712
11, EcoSport,2018,13500,Manual,12065,Petrol,145,54.3,1.0,0.24547686153286663
12, Fiesta,2017,11000,Manual,20978,Petrol,0,65.7,1.0,0.20001818347122466
13, Kuga,2018,17999,Semi-Auto,9002,Diesel,145,54.3,2.0,0.3272842985725975
14, Kuga,2018,18999,Semi-Auto,8970,Diesel,145,58.9,1.5,0.3454677697972543
15, Kuga,2018,14399,Manual,12810,Diesel,145,64.2,1.5,0.26182380216383305
16, Kuga,2019,17999,Manual,10428,Diesel,145,38.2,2.0,0.3272842985725975
17, Kuga,2018,16899,Manual,14680,Diesel,145,54.3,2.0,0.30728248022547505
18, Fiesta,2017,10999,Manual,12427,Petrol,20,62.8,1.0,0.2
19, Fiesta,2019,12500,Manual,25521,Petrol,145,55.4,1.0,0.22729339030820983
20, Fiesta,2018,9499,Manual,20400,Petrol,145,55.4,1.1,0.1727247931630148
21, Fiesta,2017,10500,Manual,24926,Petrol,145,65.7,1.0,0.19092644785889626
22, Fiesta,2017,8995,Manual,26163,Petrol,145,65.7,1.0,0.1635603236657878
23, Kuga,2014,8995,Manual,59000,Diesel,160,47.9,2.0,0.1635603236657878
24, Fiesta,2014,6795,Manual,35299,Petrol,0,65.7,1.0,0.12355668697154287
25, Focus,2017,18499,Manual,13063,Petrol,145,41.5,2.0,0.3363760341849259
26, C-MAX,2018,11799,Manual,23800,Diesel,145,68.9,1.5,0.21454677697972543
27, Fiesta,2015,8299,Manual,25935,Petrol,0,65.7,1.0,0.15090462769342666
28, Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,0.22727520683698518
29, Fiesta,2017,8699,Manual,25000,Petrol,125,54.3,1.2,0.1581780161832894
30, Fiesta,2016,7999,Manual,60730,Diesel,0,78.5,1.5,0.14544958632602964
31, Fiesta,2017,8991,Manual,18561,Petrol,145,54.3,1.2,0.16348758978088918
32, Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0,0.3453041185562324
33, Fiesta,2013,7236,Manual,39090,Petrol,0,65.7,1.0,0.1315755977816165
34, Kuga,2018,15287,Semi-Auto,33149,Diesel,145,58.9,1.5,0.2779707246113283
35, Mondeo,2019,20000,Manual,24,Diesel,145,65.7,2.0,0.3636694244931357
36, EcoSport,2020,20000,Manual,558,Petrol,145,53.3,1.0,0.3636694244931357
37, Kuga,2019,21378,Manual,3259,Diesel,145,39.2,2.0,0.3887262478407128
38, Fiesta,2018,9814,Manual,15100,Petrol,145,65.7,1.0,0.17845258659878172
39, Ka+,2018,8261,Manual,25000,Petrol,145,57.7,1.2,0.15021365578688972
40, Fiesta,2017,8788,Manual,15612,Petrol,145,65.7,1.0,0.15979634512228386
41, Fiesta,2018,12251,Manual,8920,Petrol,145,58.9,1.0,0.2227657059732703
42, Kuga,2017,16320,Manual,24803,Diesel,145,60.1,2.0,0.29675425038639874
43, Fiesta,2019,13140,Manual,7,Petrol,145,48.7,1.1,0.23893081189199017
44, Fiesta,2018,10491,Semi-Auto,43019,Petrol,145,48.7,1.0,0.19076279661787435
45, Kuga,2016,13870,Semi-Auto,41607,Diesel,145,54.3,2.0,0.2522047458859896
46, Focus,2017,14960,Manual,23554,Petrol,145,41.5,2.0,0.27202472952086554
47, Fiesta,2019,13540,Manual,6923,Petrol,145,58.9,1.0,0.2462042003818529
48, Focus,2019,17970,Manual,10985,Diesel,145,74.3,1.5,0.32675697790708247
